feature,importance
ma5_smooth_signal,5.004155051242645
close_vs_ma5,2.0902061595974044
ret_overnight,0.9633592621203908
close_vs_ma50,0.6273788011789343
ret_intraday,0.4504702843433893
log_volume,0.35090404042034856
ret_zscore,0.34587494319046164
ret_1d,0.3458749431904399
volume_ratio_20d,0.3306755003005323
bn_ret_1d,0.2821535435403449
ret_20d,0.2796982377614858
high_low_range,0.26885851573483555
vol_50d,0.2406397958372977
vol_20d,0.22619429328361734
vix_ma_ratio,0.20425374166428564
ret_5d,0.20172767736555824
close_vs_ma20,0.18154476916796217
vix_level,0.135672463071941
bn_ret_5d,0.12079085989096051
volume_normalized,0.11553972641749596
vix_change,0.09391475287724162
rsi_14,0.0624698887822579
ret_10d,0.06146440949911107
momentum_5_20,0.06119918612758302
dow,0.04401409667098291
nifty_bn_spread,0.027034740540317733
vix_5d_change,0.0237252530159122
vol_5d,0.02068180680520341
nifty_bn_corr_20d,0.017765459446287966
