sample,model,metric,value,ci_low,ci_high
walk_forward,lightgbm,auc,0.4776468844928502,0.4428328315088456,0.5193862132399802
walk_forward,lightgbm,balanced_accuracy,0.4846188041787064,0.4542551870300055,0.5157698193228181
walk_forward,lightgbm,hit_rate,0.503382949932341,0.4722598105548038,0.5385656292286874
walk_forward,lightgbm,sharpe_ratio,0.050797664227906304,-0.9980161739001941,1.0804272810814408
walk_forward,lightgbm,max_drawdown,-0.12445839288781224,-0.3895469798300121,-0.1101412767889875
walk_forward,lightgbm,turnover,0.2940379403794038,0.2940379403794038,0.4803861788617886
walk_forward,lightgbm,tn,102.0,85.475,119.0
walk_forward,lightgbm,fp,228.0,201.0,252.0
walk_forward,lightgbm,fn,139.0,120.0,159.0
walk_forward,lightgbm,tp,270.0,243.475,295.525
walk_forward,majority_baseline,auc,0.4644291323997926,0.42540615573298246,0.5100088861097236
walk_forward,majority_baseline,balanced_accuracy,0.484344669185745,0.45683258587323405,0.5171888378460895
walk_forward,majority_baseline,hit_rate,0.5115020297699594,0.4776725304465494,0.5501014884979701
walk_forward,majority_baseline,sharpe_ratio,0.11962038279128766,-0.9422250850216048,1.35598772845105
walk_forward,majority_baseline,max_drawdown,-0.2639320573039933,-0.39313059844860465,-0.10198967040065772
walk_forward,majority_baseline,turnover,0.0040650406504065045,0.0040650406504065045,0.413990514905149
walk_forward,majority_baseline,tn,76.0,61.0,93.0
walk_forward,majority_baseline,fp,254.0,229.0,282.0
walk_forward,majority_baseline,fn,107.0,88.0,126.0
walk_forward,majority_baseline,tp,302.0,276.0,328.0
out_of_sample,lightgbm,auc,0.5239497950819673,0.41921516164994427,0.6275817464402127
out_of_sample,lightgbm,balanced_accuracy,0.4948770491803279,0.43532526495095547,0.556914740626605
out_of_sample,lightgbm,hit_rate,0.504,0.408,0.6
out_of_sample,lightgbm,sharpe_ratio,0.7680389509652533,-2.0850052687062712,3.67074707867548
out_of_sample,lightgbm,max_drawdown,-0.04915394222598202,-0.10224715334743435,-0.023136938851763753
out_of_sample,lightgbm,turnover,0.1774193548387097,0.12479838709677421,0.3064516129032258
out_of_sample,lightgbm,tn,7.0,2.0,12.0
out_of_sample,lightgbm,fp,54.0,43.0,66.52499999999998
out_of_sample,lightgbm,fn,8.0,3.0,14.0
out_of_sample,lightgbm,tp,56.0,46.0,68.0
out_of_sample,majority_baseline,auc,0.5,0.5,0.5
out_of_sample,majority_baseline,balanced_accuracy,0.5,0.5,0.5
out_of_sample,majority_baseline,hit_rate,0.512,0.416,0.6
out_of_sample,majority_baseline,sharpe_ratio,0.6158325272104179,-2.365329089382734,3.6332378089628574
out_of_sample,majority_baseline,max_drawdown,-0.04541871755313942,-0.1057825850494541,-0.02390332427794607
out_of_sample,majority_baseline,turnover,0.0,0.0,0.0
out_of_sample,majority_baseline,tn,0.0,0.0,0.0
out_of_sample,majority_baseline,fp,61.0,50.0,73.0
out_of_sample,majority_baseline,fn,0.0,0.0,0.0
out_of_sample,majority_baseline,tp,64.0,52.0,75.0
